Uniprote_IDs,uT01,uT02,uT03,uT04,uT05,uT06,uT07,uT08,uT09,uT10,FA01,FA02,FA03,FA04,FA05,FA06,FA07,FA08,FA09,FA10
P12268,1739.857544,1753.659912,1487.558105,1705.662109,1523.198242,1562.473022,1654.711426,1653.318481,1742.49646,1790.873413,1664.024658,1720.932739,1677.381836,1677.259766,1651.858154,1799.262085,1738.127319,1746.323242,1771.811279,1741.741455
P12270,310.9724121,303.5605774,327.7434998,278.9929504,333.0353699,288.2379456,324.5489197,326.036377,354.4378967,296.666626,284.5474854,279.0209961,282.5006104,292.4685669,331.5250854,319.2329102,323.5785217,339.85849,370.3542175,312.2155151
P12277,1992.041504,1711.563843,1969.737427,2003.508545,1897.062378,1950.589722,1874.824463,2166.466553,2392.881104,2475.965576,1916.377808,1703.716919,1941.526611,1864.800415,1917.703125,1673.773438,2125.461914,2075.425537,2262.692871,2181.377197
P12429,396.4091187,419.2426453,371.5600891,406.8823242,445.6856689,431.6972046,431.5132141,451.7601624,520.8001709,520.3522949,384.2436829,432.9714355,407.631958,435.3478088,472.7375488,443.3149109,515.2844849,508.9211121,590.0976563,476.9900513
P12532,79.32234192,89.35574341,115.9287872,98.94978333,69.88894653,75.61399078,75.861763,69.25281525,79.57226563,124.8507919,64.35811615,79.16769409,74.78025818,77.61142731,83.92785645,70.4936142,111.8288116,124.4649658,98.34544373,116.1313171
P12694,187.4902954,67.56932068,190.6692352,178.177597,160.2276306,81.10029602,88.38539886,59.08805084,151.216507,69.12006378,185.2757111,166.4506836,174.0191956,138.2656555,165.7214508,185.2941895,128.5348358,143.5818176,133.5873413,80.91937256
P12814,2921.438965,2594.276855,2854.441162,3002.164551,2833.886963,2817.374268,3195.48877,3392.908203,3229.68457,3967.134766,2774.416016,2957.573486,3160.187988,3238.145996,3065.121338,3198.011475,3518.161377,3886.304443,3763.606934,4009.160156
P12955,189.5537109,172.4716339,191.2385101,191.5197449,156.2519073,172.76651,201.3024597,178.4348602,188.7738037,132.1341553,186.4785156,181.6666412,192.9268036,186.4541473,178.6445618,162.5046844,175.3222351,155.8652191,81.99448395,191.0131989
P12956,1505.680908,1423.256348,1565.143677,1585.578125,1650.645508,1689.711426,1693.320313,1754.679199,1681.404785,2007.970947,1507.304199,1543.710815,1570.543335,1548.63623,1630.420898,1655.204102,1718.134399,1826.144409,1918.203247,1807.993774
P13010,1900.867676,1769.771118,1763.681885,1799.362671,1704.26123,1938.760986,1713.741821,2205.161865,1956.208008,2321.456299,1790.60791,1749.097046,1813.69397,1663.660645,1871.880981,1691.799927,2009.13916,2092.54541,2350.399902,2068.289063
P13051,Filtered,52.10649109,145.8470001,159.7482147,256.2198792,153.9817352,244.3442841,181.8831787,144.7035217,116.3898926,149.0918427,134.3305054,138.5691528,132.8022308,Filtered,152.7238312,67.20082092,130.7154999,144.61026,127.2939377
P13073,1054.963379,1115.193237,1144.10022,1078.69397,1126.816772,1126.939941,1123.442139,948.7546387,1057.937622,970.5979614,956.1394043,1034.228027,1184.673218,1134.626709,948.7169189,1123.687256,835.8799438,822.6392822,889.9922485,910.6880493
P13164,147.8632965,111.0225372,123.0668411,112.5209198,126.1299515,130.9350739,121.4917908,110.4599533,110.2382889,105.7620773,88.22644806,106.7499313,89.00454712,75.95547485,90.17481232,99.50273132,114.7326813,87.61385345,89.80352783,107.6227188
P13284,84.85048676,73.0423584,79.3221817,80.46470642,75.07648468,77.57269287,86.66943359,75.904953,65.44760132,78.6561203,70.7013092,73.6181488,76.31960297,81.3992691,76.79780579,80.90174866,69.77671051,61.81534576,66.36030579,76.74490356
P13473,368.9567566,348.6104431,385.8220825,373.9961853,374.0751953,373.9706421,375.3536987,405.7906799,399.7948914,508.5613708,360.9440308,359.3481445,376.7994385,354.3201294,382.0185852,386.1668396,418.2721558,472.7098999,448.0406799,391.3268127
